			 Hotel 2012 Receipt Totals by Month and Service Type
			 Produced by Mariana Herzog
			 Date: March 7, 2015
            Lodging             Dining        Conferences         Receptions                Spa
  Jan             40951           9707.35            761602            305312      1.12217e+006
  Feb             34400           11243.6            778906            600437      1.43342e+006
  Mar             39249           9640.76            760809            291966      1.10639e+006
  Apr             57902           9441.26            753271            304919       1.1303e+006
  May             64000           12117.7            751065            597605      1.43803e+006
  Jun             34200           6078.93            514162            213438            776530
  Jul             89310           11917.8      2.24676e+006            618836      2.98598e+006
  Aug             84370           11553.3      2.37449e+006            625905      3.11519e+006
  Sep             59700           11565.5      2.21889e+006            615256      2.91476e+006
  Oct             67600           11687.8      2.33993e+006            612667      3.03651e+006
  Nov             60200           11462.3      2.27727e+006            621088      2.97442e+006
  Dec             46200           10234.3            768057            477853      1.30689e+006
Total            678082            126651      1.65452e+007      5.88528e+006           52685.6
